 ,Date,Observers,Note,Phase,Flowers on Ground (0-4),Nuts on Tree (0-4)?,Nuts on Ground?,% Canopy w/ Leaves,% of Leaves Green,,
33,14/11/2019,JP,,,0,1,None,95,100,,
36,14/11/2019,JP,,,0,0,None,95,100,,
37,14/11/2019,JP,,,0,1,None,95,100,,
32,14/11/2019,JP,,,0,1,None,95,100,,
35,14/11/2019,JP,,,0,2,None,95,100,,
,,,,,,,,,,,
41,27/11/2019,JP,,,2,2,None,70,100,,
20,27/11/2019,JP,,,0,4,None,100,100,,
21,27/11/2019,JP,,,0,3,None,100,100,,
22,27/11/2019,JP,,,0,3,Few 2,100,100,,
23,27/11/2019,JP,,,2,1,Few 1,100,100,,
26,27/11/2019,JP,,,3,3,None,95,100,,
27,27/11/2019,JP,,,0,3,None,100,100,,
28,27/11/2019,JP,"Another castana is nearby, difficult to tell if all cocos under tree #28 belong to tree #28",,0,2,Some 10,95,100,,
43,27/11/2019,JP,,,1,3,None,90,100,,
29,27/11/2019,JP,,,1,3,Few 1,100,100,,
24,27/11/2019,JP,,,1,2,Many 23,95,100,,
25,27/11/2019,JP,,,1,4,None,100,100,,
42,27/11/2019,JP,,,2,2,Few 1,100,100,,
39,27/11/2019,JP,,,0,2,None,90,100,,
38,27/11/2019,JP,,,1,4,Few 1,95,100,,
30,27/11/2019,JP,,,0,4,None,95,100,,
31,27/11/2019,JP,,,1,2,None,75,100,,
40,27/11/2019,JP,Growth on cocs,,0,2,None,95,100,,
34,27/11/2019,JP,Possibly dead,,0,2,None,0,N/A,,
33,27/11/2019,JP,,,3,1,None,100,100,,
36,27/11/2019,JP,,,1,0,None,95,95,,
37,27/11/2019,JP,,,1,2,None,90,100,,
32,27/11/2019,JP,,,1,2,None,95,100,,
35,27/11/2019,JP,,,2,2,None,95,100,,
,,,,,,,,,,,
41,10/12/2019,JP,,,2,2,None,85,100,,
20,10/12/2019,JP,,,1,3,None,100,100,,
21,10/12/2019,JP,,,0,3,Few 3,100,100,,
22,10/12/2019,JP,,,0,2,Few 2,95,100,,
23,10/12/2019,JP,,,3,0,None,100,100,,
26,10/12/2019,JP,,,3,2,Few 3,100,100,,
27,10/12/2019,JP,,,2,2,None,100,100,,
28,10/12/2019,JP,"Another castana nearby, difficult to tell which cocos under/near tree #28 are from tree #28",,2,2,Many 15,95,100,,
43,10/12/2019,JP,,,2,2,Few 2,95,100,,
29,10/12/2019,JP,,,1,2,Some 7,100,100,,
24,10/12/2019,JP,,,2,2,Few 1,95,100,,
25,10/12/2019,JP,,,1,2,Few 3,100,100,,
42,10/12/2019,JP,"Another castana nearby, difficult to tell which cocos under/near tree #42 are from tree #42",,3,2,Many 55,100,100,,
39,10/12/2019,JP,,,0,2,None,90,100,,
38,10/12/2019,JP,"Growth on cocos in tree and on ground. Orange, slime mold (?) on leaves of plants under canopy as well",,1,4,Few 1,90,100,,
30,10/12/2019,JP,,,1,4,None,95,100,,
31,10/12/2019,JP,,,2,3,None,80,100,,
40,10/12/2019,JP,,,0,1,None,95,100,,
34,10/12/2019,JP,Likely dead,,1,2,None,0,N/A,,
33,10/12/2019,JP,,,3,1,None,95,100,,
36,10/12/2019,JP,,,2,1,None,95,100,,
37,10/12/2019,JP,,,2,1,None,95,100,,
32,10/12/2019,JP,,,2,2,None,100,100,,
35,10/12/2019,JP,,,1,2,None,95,100,,
,,,,,,,,,,,
41,07/01/2020,"MiW, JRQ",,,2,2,some,90,100,,
20,07/01/2020,"MiW, JRQ",,,4,1,many,95,100,,
21,07/01/2020,"MiW, JRQ",,,4,2,many,100,100,,
22,07/01/2020,"MiW, JRQ",,,3,3,some,95,95,,
23,07/01/2020,"MiW, JRQ",,,3,1,some,90,100,,
26,07/01/2020,"MiW, JRQ",,,2,2,many,95,100,,
27,07/01/2020,"MiW, JRQ",,,4,3,some,95,100,,
28,07/01/2020,"MiW, JRQ",,,3,2,many,90,100,,
43,07/01/2020,"MiW, JRQ",,,2,3,many,85,100,,
29,07/01/2020,"MiW, JRQ",,,1,3,many,95,100,,
24,07/01/2020,"MiW, JRQ",,,4,2,many,95,100,,
25,07/01/2020,"MiW, JRQ",,,3,2,many,100,100,,
42,07/01/2020,"MiW, JRQ",Bad visiblity,,3,1,many,100,100,,
39,07/01/2020,"MiW, JRQ",,,3,3,none,85,100,,
38,07/01/2020,"MiW, JRQ",,,3,2,many,90,100,,
30,07/01/2020,"MiW, JRQ",,,2,2,some,80,100,,
31,07/01/2020,"MiW, JRQ",Fresh holes of cocos. Poss. taken by agoutis,,1,2,none,90,100,,
40,07/01/2020,"MiW, JRQ",Bad visiblity,,1,1,none,80,100,,
32,07/01/2020,"MiW, JRQ",,,4,3,none,95,100,,
34,07/01/2020,"MiW, JRQ",Dead?,,0,0,none,0,0,,
33,07/01/2020,"MiW, JRQ",,,3,1,none,95,100,,
36,07/01/2020,"MiW, JRQ",,,2,1,none,95,100,,
37,07/01/2020,"MiW, JRQ",,,2,0,none,90,100,,
35,07/01/2020,"MiW, JRQ",,,1,0,none,95,100,,
,,,,,,,,,,,
41,21/01/2020,"MiW, JRQ",,,0,2,some,80,95,,
20,21/01/2020,"MiW, JRQ",,,3,1,many,95,100,,
21,21/01/2020,"MiW, JRQ",,,4,1,many,95,100,,
22,21/01/2020,"MiW, JRQ",,,3,2,many,95,100,,
23,21/01/2020,"MiW, JRQ",,,1,1,some,95,100,,
26,21/01/2020,"MiW, JRQ",,,0,1,many,95,100,,
27,21/01/2020,"MiW, JRQ",,,3,2,many,90,100,,
28,21/01/2020,MiW,,,2,1,many,90,100,,
43,21/01/2020,MiW,,,1,1,many,85,100,,
29,21/01/2020,MiW,Bad canopy visibility,,1,1,many,95,100,,
24,21/01/2020,MiW,,,1,2,many,85,100,,
25,21/01/2020,MiW,Bad canopy visibility,,2,1,many,95,100,,
42,21/01/2020,MiW,Bad canopy visibility,,1,1,many,95,100,,
39,21/01/2020,"MiW, JRQ",,,2,2,none,75,95,,
38,21/01/2020,MiW,Bad ground visibility,,1,1,some,90,100,,
30,21/01/2020,MiW,Bad ground visibility,,1,1,some,80,100,,
31,21/01/2020,MiW,Bad ground visibility,,0,0,none,90,100,,
40,21/01/2020,MiW,,,0,0,none,80,100,,
32,21/01/2020,MiW,,,1,1,none,95,100,,
34,21/01/2020,MiW,Dead?,,0,0,none,0,0,,
33,21/01/2020,MiW,No tag,,2,0,none,95,100,,
36,21/01/2020,MiW,,,1,0,none,85,100,,
37,21/01/2020,MiW,,,1,0,none,90,100,,
35,21/01/2020,MiW,no tag,,0,0,none,95,100,,
,,,,,,,,,,,
41,04/02/2020,MiW,Cocos being harvested,,0,1,none,80,100,,
20,04/02/2020,MiW,Been Harvested,,0,0,none,95,100,,
21,04/02/2020,MiW,Been Harvested,,1,0,none,95,100,,
22,04/02/2020,MiW,Been Harvested,,1,2,many,90,95,,
23,04/02/2020,MiW,,,0,1,none,95,100,,
26,04/02/2020,MiW,Been Harvested,,0,1,none,95,95,,
27,04/02/2020,MiW,Been Harvested,,1,2,some,90,100,,
28,04/02/2020,MiW,Been Harvested,,2,0,some,90,100,,
43,04/02/2020,MiW,,,0,1,none,85,100,,
29,04/02/2020,MiW,Been Harvested,,0,1,none,95,100,,
24,04/02/2020,MiW,Been Harvested,,0,2,none,80,100,,
25,04/02/2020,MiW,Been Harvested,,0,0,none,90,100,,
42,04/02/2020,MiW,Been Harvested,,0,0,none,95,100,,
39,04/02/2020,MiW,Bad ground visibility,,0,1,none,75,95,,
38,04/02/2020,MiW,,,0,0,none,85,100,,
30,04/02/2020,MiW,,,0,1,none,80,100,,
31,04/02/2020,MiW,,,0,1,none,85,100,,
40,04/02/2020,MiW,,,0,0,none,75,100,,
32,04/02/2020,MiW,,,0,1,none,90,100,,
34,04/02/2020,MiW,,,0,0,none,0,0,,
33,04/02/2020,MiW,,,0,0,none,90,100,,
36,04/02/2020,MiW,,,0,0,none,90,100,,
37,04/02/2020,MiW,,,0,0,none,85,85,,
35,04/02/2020,MiW,,,0,0,none,90,90,,
,,,,,,,,,,,
41,18/02/2020,MiW,,,0,0,none,80,100,,
20,18/02/2020,MiW,,,0,0,none,95,100,,
21,18/02/2020,MiW,,,0,0,none,95,100,,
22,18/02/2020,MiW,,,0,1,some,95,100,,
23,18/02/2020,MiW,,,0,0,none,95,100,,
26,18/02/2020,MiW,,,0,1,none,95,100,,
27,18/02/2020,MiW,,,0,2,some,95,100,,
28,18/02/2020,MiW,,,1,0,some,95,100,,
43,18/02/2020,MiW,,,0,0,none,80,100,,
29,18/02/2020,MiW,,,0,0,none,95,100,,
24,18/02/2020,MiW,,,0,1,none,80,90,,
25,18/02/2020,MiW,,,0,1,none,90,95,,
42,18/02/2020,MiW,,,0,0,none,95,100,,
39,18/02/2020,MiW,,,0,1,none,70,95,,
38,18/02/2020,MiW,,,0,1,none,90,95,,
30,18/02/2020,MiW,,,0,0,none,80,100,,
31,18/02/2020,MiW,,,0,1,none,85,100,,
40,18/02/2020,MiW,,,0,0,none,85,100,,
32,18/02/2020,MiW,,,0,1,none,90,100,,
34,18/02/2020,MiW,,,0,0,none,0,0,,
33,18/02/2020,MiW,,,0,0,none,90,100,,
36,18/02/2020,MiW,,,0,0,none,85,100,,
37,18/02/2020,MiW,,,0,0,none,80,100,,
35,18/02/2020,MiW,,,0,0,none,90,100,,
,,,,,,,,,,,
41,03/03/2020,"MiW, OD, J, K",,,0,0,none,80,100,,
20,03/03/2020,"MiW, OD, J, K",,,0,0,none,95,100,,
21,03/03/2020,"MiW, OD, J, K",,,0,0,none,90,100,,
22,03/03/2020,"MiW, OD, J, K",some brown leaves,,0,1,some,95,95,,
23,03/03/2020,"MiW, OD, J, K",some brown leaves,,0,0,none,95,95,,
26,03/03/2020,"MiW, OD, J, K",1 coco fell but couldn't find it,,0,1,none,95,100,,
27,03/03/2020,"MiW, OD, J, K",leaves yellowing,,0,0,none,95,95,,
28,03/03/2020,"MiW, OD, J, K",leaves yellowing,,0,0,none,90,95,,
43,03/03/2020,"MiW, OD, J, K",leaves yellowing,,0,0,none,85,95,,
29,03/03/2020,"MiW, OD, J, K",young cocos,,0,1,none,95,95,,
24,03/03/2020,"MiW, OD, J, K",leaves yellowing,,0,0,none,85,90,,
25,03/03/2020,"MiW, OD, J, K",,,0,0,none,95,95,,
42,03/03/2020,"MiW, OD, J, K",,,0,1,none,95,100,,
39,03/03/2020,"MiW, OD, J, K",leaves yellowing,,0,0,none,70,90,,
38,03/03/2020,"MiW, OD, J, K",young cocos,,0,0,none,90,100,,
30,03/03/2020,"MiW, OD, J, K",young cocos,,0,0,none,95,100,,
31,03/03/2020,"MiW, OD, J, K",many young cocos,,0,0,none,95,100,,
40,03/03/2020,"MiW, OD, J, K",,,0,0,none,85,100,,
32,03/03/2020,"MiW, OD, J, K",many young cocos,,0,0,none,90,100,,
34,03/03/2020,"MiW, OD, J, K",,,-,-,none,-,-,,
33,03/03/2020,"MiW, OD, J, K",,,0,0,none,95,100,,
36,03/03/2020,"MiW, OD, J, K",maturing cocos,,0,0,none,95,95,,
37,03/03/2020,"MiW, OD, J, K",,,0,0,none,90,100,,
35,03/03/2020,"MiW, OD, J, K",,,0,0,none,95,100,,
,,,,,,,,,,,
41,17/03/2020,MiW,new cocos (1),,0,0,none,85,100,,
20,17/03/2020,MiW,,,0,0,none,95,100,,
21,17/03/2020,MiW,,,0,0,none,95,100,,
22,17/03/2020,MiW,some brown leaves,,0,1,none,95,95,,
23,17/03/2020,MiW,,,0,0,none,95,100,,
26,17/03/2020,MiW,,,0,0,none,100,100,,
27,17/03/2020,MiW,,,0,0,none,90,100,,
28,17/03/2020,MiW,,,0,0,none,95,100,,
43,17/03/2020,MiW,,,0,0,none,85,100,,
29,17/03/2020,MiW,,,0,0,none,95,100,,
24,17/03/2020,MiW,,,0,0,none,95,100,,
25,17/03/2020,MiW,,,0,0,none,95,100,,
42,17/03/2020,MiW,,,0,0,none,100,100,,
39,17/03/2020,MiW,,,0,0,none,75,95,,
38,17/03/2020,MiW,new cocos 2,,0,0,none,95,100,,
30,17/03/2020,MiW,new cocos 3,,0,0,none,95,100,,
31,17/03/2020,MiW,new cocos 3,,0,0,none,90,100,,
40,17/03/2020,MiW,new cocos 2,,0,0,none,85,100,,
32,17/03/2020,MiW,,,0,0,none,85,100,,
34,17/03/2020,MiW,dead,,-,-,none,-,-,,
33,17/03/2020,MiW,new cocos 2,,0,0,none,95,100,,
36,17/03/2020,MiW,,,0,0,none,90,100,,
37,17/03/2020,MiW,new cocos 3,,0,0,none,85,100,,
35,17/03/2020,MiW,new cocos 1,,0,0,none,95,100,,
,,,,,,,,,,,
41,31/03/2020,MiW,,,0,1,none,75,100,,
20,31/03/2020,MiW,,,0,2,none,90,100,,
21,31/03/2020,MiW,,,0,1,none,95,100,,
22,31/03/2020,MiW,,,0,0,none,95,100,,
23,31/03/2020,MiW,,,0,1,none,95,95,,
26,31/03/2020,MiW,,,0,2,none,95,100,,
27,31/03/2020,MiW,,,0,1,none,90,100,,
28,31/03/2020,MiW,,,0,1,none,90,100,,
43,31/03/2020,MiW,,,0,2,none,85,100,,
29,31/03/2020,MiW,,,0,3,none,90,100,,
24,31/03/2020,MiW,Hard to see canopy,,0,0,none,85,100,,
25,31/03/2020,MiW,,,0,3,none,90,100,,
42,31/03/2020,MiW,Hard to see canopy,,0,1,none,100,100,,
39,31/03/2020,MiW,,,0,2,none,80,100,,
38,31/03/2020,MiW,,,0,3,none,85,100,,
30,31/03/2020,MiW,,,0,3,none,95,100,,
31,31/03/2020,MiW,,,0,3,none,90,100,,
40,31/03/2020,MiW,,,0,2,none,85,100,,
37,31/03/2020,MiW,,,0,3,none,85,100,,
33,31/03/2020,MiW,,,0,1,none,85,100,,
36,31/03/2020,MiW,,,0,1,none,95,100,,
35,31/03/2020,MiW,,,0,1,none,90,100,,
32,31/03/2020,MiW,,,0,2,none,90,100,,
Y,31/03/2020,MiW,At start of castana trail,,0,1,none,90,100,,
X,31/03/2020,MiW,On border with Albino's land,,0,3,none,95,100,,
,,,,,,,,,,,
41,14/04/2020,Miw,,,0,3,none,85,100,,
Y,14/04/2020,Miw,,,0,3,none,95,100,,
20,14/04/2020,Miw,,,0,2,none,95,100,,
21,14/04/2020,Miw,,,0,1,none,95,100,,
22,14/04/2020,Miw,,,0,1,none,95,95,,
23,14/04/2020,Miw,,,0,1,none,95,100,,
26,14/04/2020,Miw,,,0,2,none,95,100,,
27,14/04/2020,Miw,,,0,2,none,90,100,,
28,14/04/2020,Miw,,,0,2,none,85,100,,
43,14/04/2020,Miw,,,0,3,none,90,100,,
29,14/04/2020,Miw,,,0,3,none,95,100,,
24,14/04/2020,Miw,,,0,1,none,85,100,,
25,14/04/2020,Miw,Cocos in tree almost 4,,0,3,none,90,100,,
42,14/04/2020,Miw,,,0,2,none,95,100,,
Z,14/04/2020,Miw,,,0,2,none,100,100,,
39,14/04/2020,Miw,,,0,2,none,80,100,,
X,14/04/2020,Miw,,,0,3,none,90,100,,
38,14/04/2020,Miw,,,0,3,none,90,100,,
30,14/04/2020,Miw,Cocos in tree almost 4,,0,3,none,95,100,,
31,14/04/2020,Miw,,,0,3,none,95,100,,
40,14/04/2020,Miw,,,0,2,none,80,100,,
37,14/04/2020,Miw,,,0,3,none,90,100,,
36,14/04/2020,Miw,,,0,1,none,90,100,,
33,14/04/2020,Miw,,,0,2,none,95,100,,
35,14/04/2020,Miw,,,0,1,none,90,100,,
32,14/04/2020,Miw,,,0,2,none,95,100,,
,,,,,,,,,,,
41,29/04/2020,MiW,,,0,2,none,80,100,,
Y,29/04/2020,MiW,,,0,3,none,90,100,,
20,29/04/2020,MiW,,,0,3,none,100,100,,
21,29/04/2020,MiW,,,0,1,none,95,100,,
22,29/04/2020,MiW,,,0,1,none,95,100,,
23,29/04/2020,MiW,Leaves browning,,0,1,none,95,90,,
26,29/04/2020,MiW,Leaves browning,,0,2,none,95,95,,
27,29/04/2020,MiW,2 small aborted cocos on ground,,0,2,none,90,100,,
28,29/04/2020,MiW,heavily browsed by leafcutter ants,,0,2,none,85,95,,
29,29/04/2020,MiW,Leaves browning,,0,3,none,95,90,,
43,29/04/2020,MiW,,,0,3,none,85,100,,
24,29/04/2020,MiW,,,0,3,none,85,100,,
25,29/04/2020,MiW,,,0,4,none,90,100,,
42,29/04/2020,MiW,Aborted coco on ground,,0,3,none,100,100,,
Z,29/04/2020,MiW,browsed by leafcutter ants. Yellowing leaves,,0,3,none,95,95,,
39,29/04/2020,MiW,,,0,2,none,80,100,,
X,29/04/2020,MiW,,,0,3,none,90,100,,
38,29/04/2020,MiW,,,0,3,none,90,100,,
30,29/04/2020,MiW,,,0,3,none,90,100,,
31,29/04/2020,MiW,,,0,3,none,90,100,,
40,29/04/2020,MiW,,,0,3,none,85,95,,
37,29/04/2020,MiW,,,0,3,none,85,100,,
36,29/04/2020,MiW,,,0,1,none,90,100,,
33,29/04/2020,MiW,,,0,2,none,95,100,,
35,29/04/2020,MiW,,,0,2,none,90,100,,
32,29/04/2020,MiW,,,0,2,none,95,100,,
,,,,,,,,,,,
41,13/05/2020,MiW,leaves yellowing,,0,2,none,80,90,,
Y,13/05/2020,MiW,"leaves yellowing, small cocos aborted, 2 scarlet macaws in tree",,0,3,none,90,90,,
20,13/05/2020,MiW,,,0,3,none,95,100,,
21,14/05/2020,MiW,,,0,2,none,95,100,,
22,14/05/2020,MiW,aborted coco. Coco dropped by macaws,,0,1,none,95,100,,
23,14/05/2020,MiW,,,0,1,none,95,95,,
26,14/05/2020,MiW,,,0,2,none,95,100,,
27,14/05/2020,MiW,several aborted cocos,,0,2,none,90,100,,
28,14/05/2020,MiW,,,0,1,none,80,100,,
29,14/05/2020,MiW,,,0,3,none,90,95,,
43,14/05/2020,MiW,,,0,3,none,85,100,,
24,14/05/2020,MiW,,,0,3,none,90,100,,
25,14/05/2020,MiW,,,0,4,none,95,100,,
42,14/05/2020,MiW,,,0,3,none,95,100,,
Z,14/05/2020,MiW,aborted cocos,,0,3,none,100,95,,
39,14/05/2020,MiW,,,0,2,none,75,100,,
X,14/05/2020,MiW,,,,,,,,,
38,14/05/2020,MiW,,,0,3,none,90,100,,
30,14/05/2020,MiW,,,0,4,none,90,100,,
31,14/05/2020,MiW,,,0,3,none,90,100,,
40,14/05/2020,MiW,,,0,3,none,85,95,,
37,15/05/2020,MiW,,,0,3,none,90,100,,
36,15/05/2020,MiW,,,0,1,none,90,100,,
33,15/05/2020,MiW,,,0,2,none,95,100,,
35,15/05/2020,MiW,Small aborted cocos,,0,2,none,85,100,,
32,15/05/2020,MiW,,,0,1,none,85,100,,
,,,,,,,,,,,
41,26/05/2020,MiW,,,0,1,None,80,95,,
20,26/05/2020,MiW,Small aborted cocos,,0,4,None,95,100,,
21,26/05/2020,MiW,,,0,2,None,95,95,,
22,26/05/2020,MiW,,,0,1,None,95,100,,
23,26/05/2020,MiW,,,0,1,None,95,90,,
26,26/05/2020,MiW,,,0,3,None,95,95,,
27,26/05/2020,MiW,many small aborted cocos,,0,3,None,90,100,,
28,26/05/2020,MiW,,,0,3,None,85,95,,
29,26/05/2020,MiW,,,0,4,None,90,95,,
43,26/05/2020,MiW,,,0,3,None,85,100,,
24,26/05/2020,MiW,,,0,3,None,90,100,,
25,26/05/2020,MiW,,,0,4,None,90,95,,
42,26/05/2020,MiW,,,0,3,None,95,95,,
Z,26/05/2020,MiW,,,0,3,None,100,95,,
39,26/05/2020,MiW,,,0,2,None,75,100,,
38,26/05/2020,MiW,,,0,3,None,95,100,,
30,26/05/2020,MiW,,,0,4,None,90,100,,
31,26/05/2020,MiW,,,0,3,None,90,100,,
40,26/05/2020,MiW,,,0,3,None,85,95,,
37,26/05/2020,MiW,,,0,3,None,85,100,,
36,26/05/2020,MiW,,,0,1,None,95,100,,
33,26/05/2020,MiW,,,0,2,None,95,100,,
35,26/05/2020,MiW,,,0,1,None,85,100,,
32,26/05/2020,MiW,,,0,1,None,85,100,,
,,,,,,,,,,,
41,09/06/2020,MiW,,,0,1,None,75,95,,
20,09/06/2020,MiW,,,0,4,None,95,95,,
21,09/06/2020,MiW,,,0,2,None,95,100,,
22,09/06/2020,MiW,,,0,2,None,95,95,,
23,09/06/2020,MiW,,,0,1,None,95,90,,
26,09/06/2020,MiW,,,0,3,None,95,90,,
27,09/06/2020,MiW,many small aborted cocos,,0,3,None,95,95,,
28,09/06/2020,MiW,,,0,3,None,90,95,,
29,09/06/2020,MiW,,,0,4,None,90,95,,
43,09/06/2020,MiW,,,0,3,None,85,95,,
24,09/06/2020,MiW,,,0,3,None,90,95,,
25,09/06/2020,MiW,,,0,4,None,95,95,,
42,09/06/2020,MiW,,,0,3,None,90,100,,
Z,09/06/2020,MiW,,,0,3,None,95,90,,
39,09/06/2020,MiW,,,0,2,None,80,100,,
38,09/06/2020,MiW,,,0,3,None,90,100,,
30,09/06/2020,MiW,,,0,4,None,90,95,,
31,09/06/2020,MiW,,,0,3,None,95,95,,
40,09/06/2020,MiW,,,0,3,None,85,95,,
37,09/06/2020,MiW,,,0,3,None,85,100,,
36,09/06/2020,MiW,,,0,1,None,90,100,,
33,09/06/2020,MiW,,,0,2,None,95,100,,
35,09/06/2020,MiW,,,0,2,None,85,100,,
32,09/06/2020,MiW,,,0,1,None,95,95,,
,,,,,,,,,,,
41,23/06/2020,MiW,,,0,1,None,75,95,,
20,23/06/2020,MiW,,,0,4,None,95,95,,
21,23/06/2020,MiW,,,0,2,None,95,100,,
22,23/06/2020,MiW,,,0,2,None,95,90,,
23,23/06/2020,MiW,,,0,2,None,95,85,,
26,23/06/2020,MiW,,,0,3,None,95,90,,
27,23/06/2020,MiW,,,0,3,None,95,95,,
28,23/06/2020,MiW,,,0,3,None,85,95,,
29,23/06/2020,MiW,,,0,4,None,95,95,,
43,23/06/2020,MiW,,,0,3,None,85,95,,
24,23/06/2020,MiW,,,0,3,None,95,95,,
25,23/06/2020,MiW,,,0,4,None,95,95,,
42,23/06/2020,MiW,,,0,3,None,90,100,,
Z,23/06/2020,MiW,,,0,3,None,90,95,,
39,23/06/2020,MiW,,,0,2,None,80,95,,
38,23/06/2020,MiW,,,0,4,None,90,100,,
30,23/06/2020,MiW,,,0,4,None,90,95,,
31,23/06/2020,MiW,,,0,3,None,95,95,,
40,23/06/2020,MiW,,,0,3,None,85,90,,
37,23/06/2020,MiW,,,0,3,None,85,100,,
36,23/06/2020,MiW,,,0,1,None,90,100,,
33,23/06/2020,MiW,,,0,2,None,95,100,,
35,23/06/2020,MiW,,,0,1,None,85,100,,
32,23/06/2020,MiW,,,0,1,None,95,95,,
,,,,,,,,,,,
41,07/07/2020,MiW,,,0,1,None,75,90,,
20,07/07/2020,MiW,,,0,4,None,95,95,,
21,07/07/2020,MiW,,,0,2,None,95,100,,
22,07/07/2020,MiW,,,0,2,None,95,90,,
23,07/07/2020,MiW,,,0,2,None,90,85,,
26,07/07/2020,MiW,,,0,3,None,95,90,,
27,07/07/2020,MiW,,,0,3,None,95,95,,
28,07/07/2020,MiW,,,0,3,None,85,95,,
29,07/07/2020,MiW,,,0,4,None,85,95,,
43,07/07/2020,MiW,,,0,3,None,85,95,,
24,07/07/2020,MiW,,,0,3,None,90,95,,
25,07/07/2020,MiW,1 aborted coco,,0,4,None,95,95,,
42,07/07/2020,MiW,,,0,3,None,90,95,,
Z,07/07/2020,MiW,,,0,3,None,90,95,,
39,07/07/2020,MiW,,,0,2,None,80,95,,
38,07/07/2020,MiW,,,0,4,None,90,100,,
30,07/07/2020,MiW,,,0,4,None,90,100,,
31,07/07/2020,MiW,,,0,3,None,95,95,,
40,07/07/2020,MiW,Possible fungal infection on cocos. Tree rotting at base,,0,3,None,85,95,,
37,07/07/2020,MiW,,,0,3,None,85,100,,
36,07/07/2020,MiW,,,0,1,None,90,100,,
33,07/07/2020,MiW,,,0,2,None,95,100,,
35,07/07/2020,MiW,,,0,1,None,90,100,,
32,07/07/2020,MiW,,,0,1,None,95,100,,
41,21/7/2020,JRQ,,,0,1,None,70,90,,
20,21/7/2020,JRQ,,,0,4,None,95,95,,
21,21/7/2020,JRQ,1 coco on the ground,,0,3,Some,95,100,,
22,21/7/2020,JRQ,,,0,2,None,90,95,,
23,21/7/2020,JRQ,,,0,2,None,90,90,,
26,21/7/2020,JRQ,,,0,3,None,95,95,,
27,21/7/2020,JRQ,,,0,3,None,95,95,,
28,21/7/2020,JRQ,,,0,3,None,75,95,,
29,21/7/2020,JRQ,,,0,4,None,90,95,,
43,21/7/2020,JRQ,,,0,2,None,90,95,,
24,21/7/2020,JRQ,,,0,3,None,80,95,,
25,21/7/2020,JRQ,,,0,4,None,90,95,,
42,21/7/2020,JRQ,,,0,3,None,95,95,,
Z,21/7/2020,JRQ,,,,,,,,,
39,21/7/2020,JRQ,,,0,3,None,80,95,,
38,21/7/2020,JRQ,1 coco on the ground,,0,4,Some,90,95,,
30,21/7/2020,JRQ,,,0,4,None,95,100,,
31,21/7/2020,JRQ,,,0,3,None,95,100,,
40,21/7/2020,JRQ,,,0,3,None,90,95,,
32,21/7/2020,JRQ,,,0,2,None,95,100,,
33,21/7/2020,JRQ,,,0,2,None,95,100,,
36,21/7/2020,JRQ,,,0,2,None,90,100,,
37,21/7/2020,JRQ,,,0,3,None,90,100,,
35,21/7/2020,JRQ,,,0,2,None,95,100,,
41,04/08/2020,JRQ,,,0,1,None,60,90,,
20,04/08/2020,JRQ,,,0,4,None,95,95,,
21,04/08/2020,JRQ,1 coco on the ground,,0,3,Some,95,95,,
22,04/08/2020,JRQ,1 coco on the ground,,0,3,Some,95,95,,
23,04/08/2020,JRQ,,,0,2,None,90,90,,
26,04/08/2020,JRQ,,,0,3,None,95,95,,
27,04/08/2020,JRQ,1 coco on the ground,,0,3,Some,95,95,,
28,04/08/2020,JRQ,,,0,3,None,75,95,,
29,04/08/2020,JRQ,,,0,4,None,85,95,,
43,04/08/2020,JRQ,,,0,2,None,90,95,,
24,04/08/2020,JRQ,1 coco on the ground,,0,3,Some,80,95,,
25,04/08/2020,JRQ,,,0,4,None,95,95,,
42,04/08/2020,JRQ,,,0,3,None,95,95,,
Z,04/08/2020,JRQ,,,0,3,None,95,95,,
39,04/08/2020,JRQ,,,0,3,None,80,95,,
38,04/08/2020,JRQ,,,0,4,None,90,95,,
30,04/08/2020,JRQ,,,0,4,None,95,100,,
31,04/08/2020,JRQ,,,0,3,None,95,100,,
40,04/08/2020,JRQ,,,0,3,None,85,95,,
37,04/08/2020,JRQ,,,0,3,None,85,95,,
32,04/08/2020,JRQ,,,0,3,None,90,100,,
33,04/08/2020,JRQ,,,0,3,None,90,100,,
36,04/08/2020,JRQ,,,0,1,None,95,100,,
35,04/08/2020,JRQ,,,0,2,None,95,95,,
41,19/8/2020,JRQ,,,0,1,None,40,90,,
20,19/8/2020,JRQ,,,0,4,None,95,95,,
21,19/8/2020,JRQ,,,0,3,None,95,95,,
22,19/8/2020,JRQ,,,0,3,None,95,95,,
23,19/8/2020,JRQ,,,0,3,None,90,90,,
26,19/8/2020,JRQ,,,0,3,None,95,95,,
27,19/8/2020,JRQ,2 cocos on the ground,,0,3,Some,95,95,,
28,19/8/2020,JRQ,,,0,3,None,75,95,,
29,19/8/2020,JRQ,,,0,4,None,80,95,,
43,19/8/2020,JRQ,,,0,3,None,75,95,,
24,19/8/2020,JRQ,,,0,3,None,75,95,,
25,19/8/2020,JRQ,,,0,4,None,95,95,,
42,19/8/2020,JRQ,,,0,3,None,90,95,,
Z,19/8/2020,JRQ,,,0,3,None,85,90,,
39,19/8/2020,JRQ,,,0,3,None,70,90,,
38,19/8/2020,JRQ,,,0,4,None,90,95,,
30,19/8/2020,JRQ,,,0,4,None,85,95,,
31,19/8/2020,JRQ,,,0,3,None,85,95,,
